"ID";"GebruikVanGeweld";"SoortDiefstal";"RegioS";"Perioden";"TotaalGeregistreerdeDiefstallen_1";"GeregistreerdeDiefstallenRelatief_2";"GeregistreerdeDiefstallenPer1000Inw_3";"TotaalOpgehelderdeDiefstallen_4";"OpgehelderdeDiefstallenRelatief_5";"RegistratiesVanVerdachten_6"
"6155";"T001540";"CRI1122";"GM0197";"2021JJ00";"      20";"      16";"       .";"       0";"     0.0";"       0"
"6156";"T001540";"CRI1122";"GM0305";"2010JJ00";"      30";"       8";"       .";"       0";"     0.0";"       0"
"6157";"T001540";"CRI1122";"GM0305";"2011JJ00";"";"";"";"";"";""
"6158";"T001540";"CRI1122";"GM0305";"2012JJ00";"";"";"";"";"";""
"6159";"T001540";"CRI1122";"GM0305";"2013JJ00";"";"";"";"";"";""
"6160";"T001540";"CRI1122";"GM0305";"2014JJ00";"";"";"";"";"";""
"6161";"T001540";"CRI1122";"GM0305";"2015JJ00";"";"";"";"";"";""
"6162";"T001540";"CRI1122";"GM0305";"2016JJ00";"";"";"";"";"";""
"6163";"T001540";"CRI1122";"GM0305";"2017JJ00";"";"";"";"";"";""
"6164";"T001540";"CRI1122";"GM0305";"2018JJ00";"";"";"";"";"";""
"6165";"T001540";"CRI1122";"GM0305";"2019JJ00";"";"";"";"";"";""
"6166";"T001540";"CRI1122";"GM0305";"2020JJ00";"";"";"";"";"";""
"6167";"T001540";"CRI1122";"GM0305";"2021JJ00";"";"";"";"";"";""
"6168";"T001540";"CRI1122";"GM0059";"2010JJ00";"      55";"      19";"       .";"       5";"     8.8";"       5"
"6169";"T001540";"CRI1122";"GM0059";"2011JJ00";"      70";"      20";"       .";"       5";"     5.7";"       5"
"6170";"T001540";"CRI1122";"GM0059";"2012JJ00";"      80";"      25";"       .";"       5";"     5.1";"       5"
"6171";"T001540";"CRI1122";"GM0059";"2013JJ00";"      45";"      16";"       .";"       0";"     0.0";"       0"
"6172";"T001540";"CRI1122";"GM0059";"2014JJ00";"      50";"      17";"       .";"       0";"     0.0";"       5"
"6173";"T001540";"CRI1122";"GM0059";"2015JJ00";"      65";"      24";"       .";"       5";"     9.5";"       5"
"6174";"T001540";"CRI1122";"GM0059";"2016JJ00";"      40";"      16";"       .";"       5";"     7.3";"       5"
"6175";"T001540";"CRI1122";"GM0059";"2017JJ00";"      35";"      19";"       .";"       5";"    21.2";"      15"
"6176";"T001540";"CRI1122";"GM0059";"2018JJ00";"      30";"      15";"       .";"       5";"    10.7";"       5"
"6177";"T001540";"CRI1122";"GM0059";"2019JJ00";"      15";"       8";"       .";"       0";"     0.0";"       0"
"6178";"T001540";"CRI1122";"GM0059";"2020JJ00";"      15";"       9";"       .";"       5";"    28.6";"       5"
"6179";"T001540";"CRI1122";"GM0059";"2021JJ00";"      20";"      14";"       .";"       0";"     0.0";"       0"
"6180";"T001540";"CRI1122";"GM0482";"2010JJ00";"      55";"      13";"       .";"       5";"     5.6";"       5"
"6181";"T001540";"CRI1122";"GM0482";"2011JJ00";"      40";"       9";"       .";"       0";"     0.0";"       5"
"6182";"T001540";"CRI1122";"GM0482";"2012JJ00";"      30";"       7";"       .";"       0";"     0.0";"       0"
"6183";"T001540";"CRI1122";"GM0482";"2013JJ00";"      40";"      11";"       .";"       0";"     0.0";"       0"
"6184";"T001540";"CRI1122";"GM0482";"2014JJ00";"      45";"      14";"       .";"       0";"     0.0";"       0"
"6185";"T001540";"CRI1122";"GM0482";"2015JJ00";"      70";"      18";"       .";"       5";"     8.6";"       5"
"6186";"T001540";"CRI1122";"GM0482";"2016JJ00";"      30";"      11";"       .";"       0";"     0.0";"       0"
"6187";"T001540";"CRI1122";"GM0482";"2017JJ00";"      35";"      13";"       .";"       0";"     0.0";"       0"
"6188";"T001540";"CRI1122";"GM0482";"2018JJ00";"      30";"      13";"       .";"       0";"     0.0";"       0"
